"nsn-btn","a15cda8ebb04c5727cb7","fce3bfd539fc6665ee41","a15cda8ebb04c5727cb7 2","a915fb70b2ad21569785"
"PRO","Blooming","2 - 1","O.Petrolero","1-1"
"COP","Blooming","2 - 1","N. Potosi","0-0"
"COP","Universitari","2 - 1","Blooming","2-1"
"COP","Independient","0 - 2","Blooming","0-0"
"PRO","T. Strongest","1 - 0","Blooming","1-0"
"PRO","Blooming","1 - 1","Royal Pari","1-0"
"PRO","Guabira","2 - 1","Blooming","1-0"
"HAZ","Blooming","1 - 1","Royal Pari","0-0"
"PRO","Blooming","1 - 3","Real Santa","1-1"
"PRO","Real Tomay.","0 - 0","Blooming","0-0"
"COP","Blooming","2 - 1","Always Ready","1-1"
"PRO","Blooming","1 - 1","Palmaflor","0-0"
"COP","Vaca Diez","0 - 2","Blooming","0-1"
"PRO","Bolivar","6 - 1","Blooming","1-0"
"PRO","Blooming","1 - 0","Independient","1-0"
"PRO","Universitari","1 - 0","Blooming","0-0"
"COP","N. Potosi","0 - 1","Blooming","0-1"
"PRO","Blooming","1 - 0","N. Potosi","0-0"
"COP","Blooming","2 - 1","Universitari","1-0"
"PRO","J.Wilsterman","1 - 0","Blooming","1-0"
"COP","Blooming","2 - 0","Independient","1-0"
"SUD","Santos","0 - 0","Blooming","0-0"
"PRO","Always Ready","2 - 0","Blooming","0-0"
"SUD","Blooming","1 - 2","Audax Ita.","1-2"
"PRO","Blooming","3 - 1","Vaca Diez","2-1"
"PRO","Libertad G.","2 - 1","Blooming","1-1"
"SUD","Blooming","2 - 3","N. Old Boys","1-1"
"PRO","Blooming","2 - 1","Aurora","1-0"
"PRO","O.Petrolero","1 - 1","Blooming","0-0"
"SUD","Audax Ita.","2 - 0","Blooming","1-0"
"PRO","Blooming","1 - 3","T. Strongest","1-1"
"COP","Always Ready","1 - 1","Blooming","0-0"
"PRO","Royal Pari","1 - 2","Blooming","1-0"
"SUD","N. Old Boys","3 - 0","Blooming","2-0"
"PRO","Blooming","3 - 1","Guabira","1-0"
"PRO","Real Santa","2 - 1","Blooming","0-0"
"SUD","Blooming","0 - 1","Santos","0-0"
"PRO","Blooming","2 - 2","Real Tomay.","1-2"
"HAZ","Blooming","1 - 1","Libertad G.","1-1"
"PRO","Palmaflor","3 - 2","Blooming","1-0"
