"nsn-btn","a15cda8ebb04c5727cb7","fce3bfd539fc6665ee41","a15cda8ebb04c5727cb7 2","a915fb70b2ad21569785"
"İSÇ1K","United IK N.","2 - 0","Sylvia","2-0"
"İSÇ1K","Taby","1 - 2","United IK N.","1-0"
"İSÇ1K","United IK N.","5 - 1","Stocksund","3-0"
"İSÇ1K","Hammarby T.","2 - 3","United IK N.","1-2"
"İSÇ1K","United IK N.","3 - 1","IF Karlstad","0-0"
"İSÇ1K","Motala AIF","0 - 2","United IK N.","0-2"
"İSÇ1K","United IK N.","1 - 0","Vasalund","0-0"
"İSÇ1K","Dalkurd","1 - 2","United IK N.","0-1"
"İSÇ1K","United IK N.","1 - 1","Pitea","0-1"
"İSÇ1K","O. Syrianska","4 - 4","United IK N.","3-1"
"İSÇ1K","United IK N.","1 - 2","Sollentuna","0-1"
"İSÇ1K","Umea","3 - 2","United IK N.","1-1"
"İSÇK","United IK N.","3 - 0","Jonkopings","1-0"
"İSÇ1K","Sandvikens","3 - 1","United IK N.","2-1"
"İSÇ1K","United IK N.","4 - 2","Stockholm I.","2-1"
"İSÇ1K","Bodens","1 - 1","United IK N.","0-0"
"İSÇ1K","United IK N.","2 - 0","O. Syrianska","1-0"
"HAZ","United IK N.","2 - 1","Nacka Iliria","-"
"İSÇK","Taby","0 - 3","United IK N.","0-2"
"İSÇ1K","Stockholm I.","1 - 1","United IK N.","1-1"
"İSÇ1K","United IK N.","3 - 1","Hammarby T.","0-0"
"İSÇ1K","United IK N.","3 - 1","Motala AIF","1-0"
"İSÇ1K","Sollentuna","1 - 2","United IK N.","0-0"
"İSÇ1K","United IK N.","3 - 1","Bodens","0-1"
"İSÇ1K","United IK N.","0 - 1","Dalkurd","0-0"
"İSÇ1K","Vasalund","0 - 1","United IK N.","0-1"
"İSÇ1K","Sylvia","1 - 3","United IK N.","1-2"
"İSÇ1K","United IK N.","2 - 1","Taby","1-1"
"İSÇ1K","Stocksund","2 - 3","United IK N.","0-1"
"İSÇ1K","Pitea","0 - 1","United IK N.","0-0"
"İSÇ1K","United IK N.","2 - 3","Umea","1-1"
"İSÇ1K","IF Karlstad","1 - 1","United IK N.","0-1"
"İSÇ1K","United IK N.","1 - 2","Sandvikens","0-1"
"HAZ","United IK N.","4 - 1","Taby","1-0"
"HAZ","United IK N.","1 - 2","Stockholm I.","-"
"HAZ","Jonkopings","3 - 2","United IK N.","2-1"
"2.","Nykoping","0 - 3","United IK N.","0-1"
"2.","United IK N.","0 - 3","Huddinge IF","0-1"
"2.","Enskede","1 - 3","United IK N.","1-2"
"2.","Trosa","1 - 3","United IK N.","1-1"
